i a           b           c           F           
0 -2.5625e+12 20500000  -20500000 22500
1 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
2 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
3 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
4 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
5 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
6 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
7 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
8 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
9 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
10 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
11 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
12 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
13 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
14 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
15 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
16 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
17 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
18 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
19 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
20 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
21 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
22 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
23 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
24 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
25 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
26 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
27 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
28 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
29 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
30 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
31 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
32 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
33 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
34 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
35 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
36 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
37 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
38 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
39 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
40 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
41 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
42 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
43 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
44 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
45 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
46 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
47 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
48 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
49 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
50 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
51 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
52 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
53 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
54 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
55 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
56 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
57 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
58 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
59 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
60 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
61 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
62 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
63 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
64 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
65 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
66 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
67 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
68 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
69 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
70 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
71 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
72 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
73 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
74 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
75 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
76 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
77 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
78 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
79 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
80 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
81 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
82 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
83 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
84 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
85 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
86 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
87 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
88 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
89 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
90 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
91 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
92 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
93 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
94 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
95 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
96 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
97 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
98 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
99 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
100 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
101 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
102 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
103 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
104 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
105 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
106 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
107 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
108 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
109 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
110 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
111 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
112 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
113 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
114 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
115 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
116 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
117 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
118 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
119 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
120 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
121 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
122 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
123 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
124 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
125 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
126 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
127 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
128 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
129 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
130 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
131 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
132 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
133 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
134 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
135 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
136 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
137 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
138 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
139 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
140 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
141 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
142 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
143 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
144 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
145 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
146 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
147 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
148 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
149 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
150 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
151 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
152 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
153 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
154 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
155 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
156 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
157 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
158 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
159 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
160 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
161 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
162 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
163 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
164 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
